0 [1.000e+05, 2.000e-01]
1000 [1.409e+05, 3.378e-01]
2000 [1.507e+05, 3.802e-01]
3000 [1.533e+05, 3.832e-01]
4000 [1.555e+05, 3.816e-01]
5000 [1.582e+05, 3.793e-01]
6000 [1.611e+05, 3.765e-01]
7000 [1.640e+05, 3.736e-01]
8000 [1.669e+05, 3.702e-01]
9000 [1.696e+05, 3.661e-01]
10000 [1.694e+05, 3.620e-01]
11000 [1.704e+05, 3.614e-01]
12000 [1.719e+05, 3.605e-01]
13000 [1.737e+05, 3.585e-01]
14000 [1.758e+05, 3.557e-01]
15000 [1.781e+05, 3.518e-01]
16000 [1.810e+05, 3.475e-01]
17000 [1.835e+05, 3.429e-01]
18000 [1.865e+05, 3.383e-01]
19000 [1.887e+05, 3.341e-01]
20000 [1.911e+05, 3.293e-01]
21000 [1.935e+05, 3.245e-01]
22000 [1.858e+05, 3.169e-01]
23000 [1.897e+05, 3.187e-01]
24000 [1.917e+05, 3.192e-01]
25000 [1.931e+05, 3.185e-01]
26000 [1.946e+05, 3.168e-01]
27000 [1.967e+05, 3.139e-01]
28000 [1.989e+05, 3.106e-01]
29000 [2.009e+05, 3.067e-01]
30000 [2.023e+05, 3.031e-01]
31000 [2.043e+05, 2.992e-01]
32000 [2.059e+05, 2.956e-01]
33000 [2.004e+05, 2.855e-01]
34000 [2.020e+05, 2.864e-01]
35000 [2.037e+05, 2.873e-01]
36000 [2.052e+05, 2.878e-01]
37000 [2.065e+05, 2.877e-01]
38000 [2.076e+05, 2.869e-01]
39000 [2.083e+05, 2.849e-01]
40000 [2.095e+05, 2.825e-01]
41000 [2.107e+05, 2.797e-01]
42000 [2.114e+05, 2.757e-01]
43000 [2.127e+05, 2.728e-01]
44000 [2.138e+05, 2.685e-01]
45000 [2.147e+05, 2.660e-01]
46000 [2.150e+05, 2.634e-01]
47000 [2.158e+05, 2.609e-01]
48000 [2.115e+05, 2.576e-01]
49000 [2.129e+05, 2.581e-01]
50000 [2.139e+05, 2.584e-01]
51000 [2.146e+05, 2.584e-01]
52000 [2.153e+05, 2.581e-01]
53000 [2.159e+05, 2.573e-01]
54000 [2.163e+05, 2.561e-01]
55000 [2.167e+05, 2.547e-01]
56000 [2.172e+05, 2.535e-01]
57000 [2.176e+05, 2.519e-01]
58000 [2.178e+05, 2.511e-01]
59000 [2.179e+05, 2.502e-01]
60000 [2.181e+05, 2.500e-01]
61000 [2.174e+05, 2.470e-01]
62000 [2.170e+05, 2.471e-01]
63000 [2.168e+05, 2.476e-01]
64000 [2.172e+05, 2.484e-01]
65000 [2.176e+05, 2.494e-01]
66000 [2.178e+05, 2.497e-01]
67000 [2.176e+05, 2.498e-01]
68000 [2.179e+05, 2.495e-01]
69000 [2.180e+05, 2.490e-01]
70000 [2.180e+05, 2.488e-01]
71000 [2.181e+05, 2.485e-01]
72000 [2.147e+05, 2.497e-01]
73000 [2.157e+05, 2.483e-01]
74000 [2.168e+05, 2.478e-01]
75000 [2.178e+05, 2.470e-01]
76000 [2.182e+05, 2.459e-01]
77000 [2.186e+05, 2.445e-01]
78000 [2.190e+05, 2.430e-01]
79000 [2.193e+05, 2.420e-01]
80000 [2.196e+05, 2.416e-01]
81000 [2.194e+05, 2.416e-01]
82000 [2.194e+05, 2.419e-01]
83000 [2.211e+05, 2.291e-01]
84000 [2.216e+05, 2.296e-01]
85000 [2.213e+05, 2.298e-01]
86000 [2.213e+05, 2.303e-01]
87000 [2.212e+05, 2.313e-01]
88000 [2.211e+05, 2.328e-01]
89000 [2.211e+05, 2.345e-01]
90000 [2.207e+05, 2.359e-01]
91000 [2.203e+05, 2.379e-01]
92000 [2.199e+05, 2.396e-01]
93000 [2.197e+05, 2.406e-01]
94000 [2.194e+05, 2.417e-01]
95000 [2.114e+05, 2.392e-01]
96000 [2.183e+05, 2.419e-01]
97000 [2.187e+05, 2.424e-01]
98000 [2.187e+05, 2.426e-01]
99000 [2.186e+05, 2.431e-01]
100000 [2.185e+05, 2.436e-01]
101000 [2.185e+05, 2.441e-01]
102000 [2.185e+05, 2.443e-01]
103000 [2.185e+05, 2.445e-01]
104000 [2.156e+05, 2.431e-01]
105000 [2.174e+05, 2.435e-01]
106000 [2.180e+05, 2.436e-01]
107000 [2.181e+05, 2.436e-01]
108000 [2.182e+05, 2.437e-01]
109000 [2.182e+05, 2.439e-01]
110000 [2.184e+05, 2.439e-01]
111000 [2.184e+05, 2.439e-01]
112000 [2.184e+05, 2.439e-01]
113000 [2.183e+05, 2.445e-01]
114000 [2.162e+05, 2.412e-01]
115000 [2.183e+05, 2.417e-01]
116000 [2.185e+05, 2.420e-01]
117000 [2.187e+05, 2.422e-01]
118000 [2.186e+05, 2.424e-01]
119000 [2.186e+05, 2.427e-01]
120000 [2.187e+05, 2.428e-01]
121000 [2.187e+05, 2.429e-01]
122000 [2.187e+05, 2.432e-01]
122198 [2.187e+05, 2.427e-01]
