0 [1.000e+05, 2.000e-01]
1000 [1.168e+05, 1.933e-01]
2000 [1.355e+05, 2.015e-01]
3000 [1.520e+05, 2.120e-01]
4000 [1.652e+05, 2.229e-01]
5000 [1.753e+05, 2.321e-01]
6000 [1.831e+05, 2.398e-01]
7000 [1.890e+05, 2.458e-01]
8000 [1.935e+05, 2.510e-01]
9000 [1.970e+05, 2.551e-01]
10000 [1.997e+05, 2.585e-01]
11000 [2.019e+05, 2.617e-01]
12000 [2.035e+05, 2.645e-01]
13000 [2.048e+05, 2.669e-01]
14000 [2.057e+05, 2.689e-01]
15000 [2.065e+05, 2.709e-01]
16000 [2.071e+05, 2.725e-01]
17000 [2.076e+05, 2.742e-01]
18000 [2.079e+05, 2.755e-01]
19000 [2.082e+05, 2.767e-01]
20000 [2.084e+05, 2.777e-01]
21000 [2.085e+05, 2.787e-01]
22000 [2.087e+05, 2.797e-01]
23000 [2.088e+05, 2.805e-01]
24000 [2.089e+05, 2.814e-01]
25000 [2.089e+05, 2.818e-01]
26000 [2.089e+05, 2.825e-01]
27000 [2.090e+05, 2.832e-01]
28000 [2.090e+05, 2.836e-01]
29000 [2.090e+05, 2.841e-01]
30000 [2.091e+05, 2.845e-01]
31000 [2.091e+05, 2.850e-01]
32000 [2.091e+05, 2.853e-01]
33000 [2.091e+05, 2.857e-01]
34000 [2.091e+05, 2.860e-01]
35000 [2.091e+05, 2.864e-01]
36000 [2.092e+05, 2.867e-01]
37000 [2.092e+05, 2.870e-01]
38000 [2.092e+05, 2.872e-01]
39000 [2.092e+05, 2.875e-01]
40000 [2.092e+05, 2.877e-01]
41000 [2.092e+05, 2.879e-01]
42000 [2.092e+05, 2.881e-01]
43000 [2.092e+05, 2.882e-01]
44000 [2.092e+05, 2.885e-01]
45000 [2.092e+05, 2.886e-01]
46000 [2.092e+05, 2.889e-01]
47000 [2.092e+05, 2.891e-01]
48000 [2.092e+05, 2.892e-01]
49000 [2.092e+05, 2.893e-01]
50000 [2.093e+05, 2.896e-01]
51000 [2.092e+05, 2.895e-01]
52000 [2.093e+05, 2.898e-01]
53000 [2.093e+05, 2.899e-01]
53330 [2.093e+05, 2.900e-01]
