0 [1.000e+05, 2.000e-01]
1000 [9.849e+04, 2.083e-01]
2000 [9.535e+04, 2.240e-01]
3000 [9.337e+04, 2.415e-01]
4000 [9.254e+04, 2.570e-01]
5000 [9.224e+04, 2.692e-01]
6000 [9.210e+04, 2.777e-01]
7000 [9.208e+04, 2.835e-01]
8000 [9.206e+04, 2.871e-01]
9000 [9.208e+04, 2.894e-01]
10000 [9.209e+04, 2.909e-01]
11000 [9.209e+04, 2.918e-01]
12000 [9.209e+04, 2.924e-01]
13000 [9.209e+04, 2.927e-01]
14000 [9.210e+04, 2.930e-01]
15000 [9.210e+04, 2.931e-01]
16000 [9.210e+04, 2.933e-01]
17000 [9.210e+04, 2.933e-01]
18000 [9.210e+04, 2.934e-01]
19000 [9.212e+04, 2.935e-01]
20000 [9.211e+04, 2.936e-01]
21000 [9.211e+04, 2.936e-01]
22000 [9.211e+04, 2.936e-01]
23000 [9.211e+04, 2.937e-01]
24000 [9.210e+04, 2.937e-01]
25000 [9.210e+04, 2.936e-01]
26000 [9.210e+04, 2.938e-01]
27000 [9.210e+04, 2.939e-01]
28000 [9.210e+04, 2.940e-01]
29000 [9.207e+04, 2.936e-01]
30000 [9.209e+04, 2.940e-01]
31000 [9.209e+04, 2.941e-01]
32000 [9.208e+04, 2.941e-01]
33000 [9.208e+04, 2.941e-01]
34000 [9.208e+04, 2.941e-01]
35000 [9.206e+04, 2.938e-01]
36000 [9.208e+04, 2.941e-01]
37000 [9.208e+04, 2.942e-01]
38000 [9.208e+04, 2.938e-01]
39000 [9.208e+04, 2.942e-01]
40000 [9.207e+04, 2.942e-01]
41000 [9.207e+04, 2.942e-01]
42000 [9.207e+04, 2.942e-01]
43000 [9.206e+04, 2.940e-01]
44000 [9.205e+04, 2.941e-01]
45000 [9.198e+04, 2.937e-01]
46000 [9.170e+04, 2.926e-01]
46202 [9.165e+04, 2.923e-01]
