0 [1.000e+05, 2.000e-01]
1000 [1.392e+05, 3.408e-01]
2000 [1.501e+05, 3.729e-01]
3000 [1.558e+05, 3.739e-01]
4000 [1.607e+05, 3.721e-01]
5000 [1.649e+05, 3.690e-01]
6000 [1.692e+05, 3.670e-01]
7000 [1.725e+05, 3.627e-01]
8000 [1.757e+05, 3.579e-01]
9000 [1.791e+05, 3.527e-01]
10000 [1.822e+05, 3.472e-01]
11000 [1.858e+05, 3.414e-01]
12000 [1.892e+05, 3.354e-01]
13000 [1.926e+05, 3.292e-01]
14000 [1.940e+05, 3.269e-01]
15000 [1.916e+05, 3.235e-01]
16000 [1.919e+05, 3.232e-01]
17000 [1.926e+05, 3.228e-01]
18000 [1.933e+05, 3.222e-01]
19000 [1.942e+05, 3.213e-01]
20000 [1.953e+05, 3.199e-01]
21000 [1.966e+05, 3.182e-01]
22000 [1.982e+05, 3.157e-01]
23000 [2.004e+05, 3.121e-01]
24000 [2.019e+05, 3.084e-01]
25000 [2.034e+05, 3.051e-01]
26000 [2.048e+05, 3.016e-01]
27000 [2.061e+05, 2.976e-01]
28000 [2.030e+05, 2.928e-01]
29000 [2.030e+05, 2.915e-01]
30000 [2.043e+05, 2.915e-01]
31000 [2.058e+05, 2.916e-01]
32000 [2.070e+05, 2.916e-01]
33000 [2.073e+05, 2.912e-01]
34000 [2.082e+05, 2.911e-01]
35000 [2.082e+05, 2.910e-01]
36000 [2.086e+05, 2.904e-01]
37000 [2.091e+05, 2.890e-01]
38000 [2.096e+05, 2.872e-01]
39000 [2.097e+05, 2.855e-01]
40000 [2.102e+05, 2.751e-01]
41000 [2.092e+05, 2.736e-01]
42000 [2.099e+05, 2.736e-01]
43000 [2.107e+05, 2.737e-01]
44000 [2.114e+05, 2.734e-01]
45000 [2.119e+05, 2.727e-01]
46000 [2.122e+05, 2.719e-01]
47000 [2.124e+05, 2.709e-01]
48000 [2.133e+05, 2.700e-01]
49000 [2.135e+05, 2.687e-01]
50000 [2.137e+05, 2.671e-01]
51000 [2.144e+05, 2.650e-01]
52000 [2.133e+05, 2.545e-01]
53000 [2.150e+05, 2.547e-01]
54000 [2.165e+05, 2.545e-01]
55000 [2.179e+05, 2.535e-01]
56000 [2.182e+05, 2.524e-01]
57000 [2.186e+05, 2.512e-01]
58000 [2.185e+05, 2.502e-01]
59000 [2.185e+05, 2.497e-01]
60000 [2.187e+05, 2.496e-01]
61000 [2.188e+05, 2.494e-01]
62000 [2.190e+05, 2.490e-01]
63000 [2.187e+05, 2.484e-01]
64000 [2.186e+05, 2.413e-01]
65000 [2.195e+05, 2.415e-01]
66000 [2.198e+05, 2.413e-01]
67000 [2.196e+05, 2.409e-01]
68000 [2.199e+05, 2.408e-01]
69000 [2.199e+05, 2.408e-01]
70000 [2.198e+05, 2.409e-01]
71000 [2.196e+05, 2.411e-01]
72000 [2.196e+05, 2.412e-01]
73000 [2.196e+05, 2.414e-01]
74000 [2.195e+05, 2.417e-01]
75000 [2.194e+05, 2.423e-01]
76000 [2.193e+05, 2.371e-01]
77000 [2.198e+05, 2.367e-01]
78000 [2.199e+05, 2.361e-01]
79000 [2.201e+05, 2.356e-01]
80000 [2.208e+05, 2.355e-01]
81000 [2.210e+05, 2.354e-01]
82000 [2.210e+05, 2.355e-01]
83000 [2.209e+05, 2.361e-01]
84000 [2.207e+05, 2.366e-01]
85000 [2.205e+05, 2.377e-01]
86000 [2.204e+05, 2.388e-01]
87000 [2.199e+05, 2.398e-01]
88000 [2.198e+05, 2.409e-01]
89000 [2.170e+05, 2.338e-01]
90000 [2.181e+05, 2.348e-01]
91000 [2.190e+05, 2.358e-01]
92000 [2.194e+05, 2.365e-01]
93000 [2.198e+05, 2.374e-01]
94000 [2.199e+05, 2.378e-01]
95000 [2.203e+05, 2.383e-01]
96000 [2.201e+05, 2.385e-01]
97000 [2.197e+05, 2.391e-01]
98000 [2.197e+05, 2.394e-01]
99000 [2.195e+05, 2.403e-01]
100000 [2.195e+05, 2.409e-01]
101000 [2.193e+05, 2.416e-01]
102000 [2.191e+05, 2.422e-01]
103000 [2.208e+05, 2.300e-01]
104000 [2.209e+05, 2.297e-01]
105000 [2.208e+05, 2.297e-01]
106000 [2.208e+05, 2.299e-01]
107000 [2.209e+05, 2.306e-01]
108000 [2.211e+05, 2.311e-01]
109000 [2.211e+05, 2.318e-01]
110000 [2.209e+05, 2.329e-01]
111000 [2.207e+05, 2.342e-01]
112000 [2.205e+05, 2.356e-01]
113000 [2.202e+05, 2.366e-01]
113767 [2.200e+05, 2.378e-01]
