0 [1.000e+05, 2.000e-01]
1000 [1.166e+05, 2.088e-01]
2000 [1.336e+05, 2.157e-01]
3000 [1.474e+05, 2.219e-01]
4000 [1.587e+05, 2.290e-01]
5000 [1.679e+05, 2.355e-01]
6000 [1.756e+05, 2.419e-01]
7000 [1.822e+05, 2.479e-01]
8000 [1.876e+05, 2.533e-01]
9000 [1.919e+05, 2.583e-01]
10000 [1.953e+05, 2.626e-01]
11000 [1.981e+05, 2.665e-01]
12000 [2.003e+05, 2.699e-01]
13000 [2.021e+05, 2.730e-01]
14000 [2.034e+05, 2.750e-01]
15000 [2.046e+05, 2.777e-01]
16000 [2.055e+05, 2.796e-01]
17000 [2.056e+05, 2.793e-01]
18000 [2.063e+05, 2.811e-01]
19000 [2.069e+05, 2.831e-01]
20000 [2.074e+05, 2.847e-01]
21000 [2.077e+05, 2.855e-01]
22000 [2.080e+05, 2.869e-01]
23000 [2.080e+05, 2.861e-01]
24000 [2.083e+05, 2.873e-01]
25000 [2.085e+05, 2.886e-01]
26000 [2.087e+05, 2.895e-01]
27000 [2.089e+05, 2.901e-01]
28000 [2.084e+05, 2.882e-01]
29000 [2.087e+05, 2.889e-01]
30000 [2.089e+05, 2.900e-01]
31000 [2.091e+05, 2.908e-01]
32000 [2.092e+05, 2.914e-01]
33000 [2.092e+05, 2.913e-01]
34000 [2.094e+05, 2.921e-01]
35000 [2.095e+05, 2.926e-01]
36000 [2.095e+05, 2.928e-01]
37000 [2.096e+05, 2.930e-01]
38000 [2.093e+05, 2.918e-01]
39000 [2.095e+05, 2.927e-01]
40000 [2.097e+05, 2.932e-01]
41000 [2.098e+05, 2.936e-01]
42000 [2.098e+05, 2.938e-01]
43000 [2.098e+05, 2.935e-01]
44000 [2.099e+05, 2.941e-01]
45000 [2.099e+05, 2.940e-01]
46000 [2.100e+05, 2.945e-01]
47000 [2.100e+05, 2.944e-01]
48000 [2.101e+05, 2.949e-01]
49000 [2.096e+05, 2.930e-01]
50000 [2.098e+05, 2.937e-01]
51000 [2.100e+05, 2.945e-01]
52000 [2.101e+05, 2.950e-01]
53000 [2.102e+05, 2.954e-01]
54000 [2.101e+05, 2.951e-01]
55000 [2.102e+05, 2.957e-01]
56000 [2.103e+05, 2.957e-01]
57000 [2.103e+05, 2.958e-01]
58000 [2.104e+05, 2.962e-01]
59000 [2.097e+05, 2.937e-01]
60000 [2.100e+05, 2.943e-01]
61000 [2.102e+05, 2.950e-01]
62000 [2.103e+05, 2.955e-01]
63000 [2.104e+05, 2.959e-01]
64000 [2.104e+05, 2.961e-01]
65000 [2.104e+05, 2.960e-01]
66000 [2.105e+05, 2.963e-01]
67000 [2.105e+05, 2.964e-01]
68000 [2.105e+05, 2.965e-01]
69000 [2.105e+05, 2.967e-01]
70000 [2.100e+05, 2.946e-01]
71000 [2.102e+05, 2.951e-01]
72000 [2.103e+05, 2.958e-01]
73000 [2.103e+05, 2.962e-01]
74000 [2.104e+05, 2.964e-01]
75000 [2.104e+05, 2.966e-01]
76000 [2.104e+05, 2.968e-01]
77000 [2.104e+05, 2.970e-01]
78000 [2.104e+05, 2.971e-01]
79000 [2.099e+05, 2.944e-01]
80000 [2.101e+05, 2.949e-01]
81000 [2.102e+05, 2.956e-01]
82000 [2.103e+05, 2.962e-01]
83000 [2.103e+05, 2.966e-01]
84000 [2.103e+05, 2.968e-01]
85000 [2.104e+05, 2.970e-01]
86000 [2.104e+05, 2.972e-01]
87000 [2.104e+05, 2.974e-01]
88000 [2.104e+05, 2.975e-01]
89000 [2.099e+05, 2.952e-01]
90000 [2.101e+05, 2.957e-01]
91000 [2.102e+05, 2.963e-01]
92000 [2.103e+05, 2.967e-01]
93000 [2.103e+05, 2.971e-01]
94000 [2.103e+05, 2.974e-01]
95000 [2.103e+05, 2.976e-01]
96000 [2.103e+05, 2.977e-01]
97000 [2.102e+05, 2.978e-01]
98000 [2.094e+05, 2.949e-01]
99000 [2.097e+05, 2.952e-01]
100000 [2.099e+05, 2.957e-01]
101000 [2.100e+05, 2.960e-01]
102000 [2.101e+05, 2.961e-01]
103000 [2.101e+05, 2.964e-01]
104000 [2.101e+05, 2.967e-01]
105000 [2.101e+05, 2.970e-01]
106000 [2.101e+05, 2.972e-01]
107000 [2.101e+05, 2.975e-01]
108000 [2.101e+05, 2.976e-01]
109000 [2.093e+05, 2.948e-01]
110000 [2.095e+05, 2.951e-01]
110261 [2.095e+05, 2.952e-01]
