0 [1.000e+05, 2.000e-01]
1000 [1.290e+05, 2.212e-01]
2000 [1.545e+05, 2.405e-01]
3000 [1.726e+05, 2.549e-01]
4000 [1.849e+05, 2.648e-01]
5000 [1.924e+05, 2.714e-01]
6000 [1.967e+05, 2.762e-01]
7000 [1.991e+05, 2.799e-01]
8000 [2.006e+05, 2.827e-01]
9000 [2.014e+05, 2.844e-01]
10000 [2.020e+05, 2.855e-01]
11000 [2.024e+05, 2.868e-01]
12000 [2.029e+05, 2.880e-01]
13000 [2.030e+05, 2.876e-01]
14000 [2.036e+05, 2.893e-01]
15000 [2.039e+05, 2.904e-01]
16000 [2.042e+05, 2.913e-01]
17000 [2.045e+05, 2.917e-01]
18000 [2.048e+05, 2.925e-01]
19000 [2.051e+05, 2.931e-01]
20000 [2.054e+05, 2.937e-01]
21000 [2.051e+05, 2.919e-01]
22000 [2.055e+05, 2.932e-01]
23000 [2.059e+05, 2.941e-01]
24000 [2.061e+05, 2.947e-01]
25000 [2.063e+05, 2.950e-01]
26000 [2.065e+05, 2.954e-01]
27000 [2.067e+05, 2.956e-01]
28000 [2.069e+05, 2.959e-01]
29000 [2.071e+05, 2.961e-01]
30000 [2.073e+05, 2.963e-01]
31000 [2.074e+05, 2.964e-01]
31350 [2.075e+05, 2.965e-01]
