0 [1.000e+05, 2.000e-01]
1000 [8.429e+04, 2.717e-01]
2000 [8.184e+04, 2.913e-01]
3000 [7.998e+04, 2.970e-01]
4000 [7.846e+04, 2.987e-01]
5000 [7.721e+04, 2.992e-01]
6000 [7.606e+04, 2.992e-01]
7000 [7.503e+04, 2.992e-01]
8000 [7.408e+04, 2.993e-01]
9000 [7.319e+04, 2.993e-01]
10000 [7.233e+04, 2.993e-01]
11000 [7.150e+04, 2.994e-01]
12000 [7.075e+04, 2.995e-01]
13000 [6.982e+04, 2.992e-01]
14000 [6.918e+04, 2.996e-01]
15000 [6.825e+04, 2.995e-01]
16000 [6.767e+04, 2.996e-01]
17000 [6.676e+04, 2.995e-01]
18000 [6.619e+04, 2.995e-01]
19000 [6.560e+04, 2.997e-01]
20000 [6.494e+04, 2.996e-01]
21000 [6.426e+04, 2.996e-01]
22000 [6.364e+04, 2.996e-01]
23000 [6.278e+04, 2.997e-01]
24000 [6.221e+04, 2.996e-01]
25000 [6.168e+04, 2.996e-01]
26000 [6.104e+04, 2.996e-01]
27000 [6.049e+04, 2.996e-01]
28000 [5.996e+04, 2.996e-01]
29000 [5.945e+04, 2.995e-01]
30000 [5.488e+04, 2.959e-01]
31000 [5.449e+04, 2.989e-01]
32000 [5.429e+04, 2.996e-01]
33000 [5.408e+04, 2.997e-01]
34000 [5.370e+04, 2.998e-01]
35000 [5.327e+04, 2.998e-01]
36000 [5.268e+04, 2.998e-01]
37000 [5.235e+04, 2.998e-01]
38000 [5.177e+04, 2.997e-01]
39000 [5.144e+04, 2.998e-01]
40000 [5.100e+04, 2.998e-01]
41000 [5.059e+04, 2.998e-01]
42000 [4.968e+04, 2.997e-01]
43000 [4.954e+04, 2.999e-01]
44000 [4.918e+04, 2.999e-01]
45000 [4.881e+04, 2.998e-01]
46000 [4.839e+04, 2.999e-01]
47000 [4.806e+04, 2.999e-01]
48000 [4.766e+04, 2.999e-01]
49000 [4.734e+04, 2.999e-01]
50000 [4.691e+04, 2.999e-01]
51000 [4.663e+04, 2.999e-01]
51384 [4.651e+04, 2.998e-01]
