0 [1.800e+05, 2.500e-01]
1000 [1.779e+05, 2.473e-01]
2000 [1.778e+05, 2.473e-01]
3000 [1.778e+05, 2.473e-01]
4000 [1.778e+05, 2.472e-01]
5000 [1.778e+05, 2.472e-01]
6000 [1.775e+05, 2.469e-01]
7000 [1.773e+05, 2.466e-01]
8000 [1.770e+05, 2.462e-01]
9000 [1.766e+05, 2.458e-01]
10000 [1.763e+05, 2.453e-01]
11000 [1.759e+05, 2.450e-01]
12000 [1.755e+05, 2.446e-01]
13000 [1.752e+05, 2.444e-01]
14000 [1.748e+05, 2.442e-01]
15000 [1.576e+05, 2.220e-01]
16000 [1.576e+05, 2.220e-01]
17000 [1.576e+05, 2.221e-01]
18000 [1.576e+05, 2.221e-01]
19000 [1.576e+05, 2.221e-01]
20000 [1.576e+05, 2.221e-01]
21000 [1.575e+05, 2.221e-01]
22000 [1.575e+05, 2.221e-01]
23000 [1.572e+05, 2.220e-01]
24000 [1.567e+05, 2.218e-01]
25000 [1.566e+05, 2.221e-01]
26000 [1.559e+05, 2.222e-01]
27000 [1.352e+05, 2.057e-01]
28000 [1.352e+05, 2.057e-01]
29000 [1.352e+05, 2.057e-01]
30000 [1.352e+05, 2.059e-01]
31000 [1.352e+05, 2.061e-01]
32000 [1.353e+05, 2.064e-01]
33000 [1.351e+05, 2.066e-01]
34000 [1.350e+05, 2.071e-01]
35000 [1.326e+05, 2.054e-01]
36000 [1.330e+05, 2.078e-01]
37000 [1.335e+05, 2.116e-01]
38000 [1.339e+05, 2.171e-01]
39000 [1.081e+05, 1.918e-01]
40000 [1.081e+05, 1.921e-01]
41000 [1.082e+05, 1.925e-01]
42000 [1.083e+05, 1.932e-01]
43000 [1.085e+05, 1.945e-01]
44000 [1.088e+05, 1.966e-01]
45000 [1.091e+05, 2.000e-01]
46000 [1.093e+05, 2.049e-01]
47000 [1.102e+05, 2.135e-01]
48000 [1.105e+05, 2.263e-01]
49000 [9.101e+04, 2.150e-01]
50000 [9.102e+04, 2.152e-01]
51000 [9.107e+04, 2.156e-01]
52000 [9.116e+04, 2.162e-01]
53000 [9.132e+04, 2.173e-01]
54000 [9.159e+04, 2.190e-01]
55000 [9.150e+04, 2.211e-01]
56000 [9.204e+04, 2.251e-01]
57000 [9.260e+04, 2.310e-01]
58000 [9.293e+04, 2.394e-01]
59000 [7.431e+04, 2.260e-01]
60000 [7.433e+04, 2.261e-01]
61000 [7.436e+04, 2.262e-01]
62000 [7.441e+04, 2.265e-01]
63000 [7.451e+04, 2.270e-01]
64000 [7.467e+04, 2.278e-01]
65000 [7.490e+04, 2.290e-01]
66000 [7.502e+04, 2.306e-01]
67000 [7.489e+04, 2.325e-01]
68000 [7.499e+04, 2.359e-01]
69000 [7.526e+04, 2.418e-01]
70000 [7.600e+04, 2.516e-01]
71000 [6.199e+04, 2.374e-01]
72000 [6.190e+04, 2.374e-01]
73000 [6.187e+04, 2.375e-01]
74000 [6.188e+04, 2.377e-01]
75000 [6.195e+04, 2.381e-01]
76000 [6.209e+04, 2.388e-01]
77000 [6.231e+04, 2.400e-01]
78000 [6.269e+04, 2.418e-01]
79000 [6.322e+04, 2.447e-01]
80000 [5.018e+04, 2.313e-01]
81000 [5.019e+04, 2.313e-01]
82000 [5.021e+04, 2.314e-01]
83000 [5.024e+04, 2.315e-01]
84000 [5.029e+04, 2.318e-01]
85000 [5.037e+04, 2.323e-01]
86000 [5.049e+04, 2.331e-01]
87000 [5.071e+04, 2.345e-01]
88000 [5.106e+04, 2.366e-01]
89000 [5.163e+04, 2.400e-01]
90000 [5.254e+04, 2.456e-01]
91000 [5.297e+04, 2.532e-01]
91482 [5.405e+04, 2.594e-01]
