0 [1.000e+05, 2.000e-01]
1000 [1.232e+05, 2.743e-01]
2000 [1.399e+05, 3.619e-01]
3000 [1.448e+05, 3.895e-01]
4000 [1.471e+05, 3.927e-01]
5000 [1.498e+05, 3.903e-01]
6000 [1.534e+05, 3.857e-01]
7000 [1.572e+05, 3.815e-01]
8000 [1.604e+05, 3.784e-01]
9000 [1.632e+05, 3.752e-01]
10000 [1.665e+05, 3.718e-01]
11000 [1.696e+05, 3.680e-01]
12000 [1.725e+05, 3.636e-01]
13000 [1.756e+05, 3.590e-01]
14000 [1.785e+05, 3.540e-01]
15000 [1.812e+05, 3.485e-01]
16000 [1.843e+05, 3.438e-01]
17000 [1.872e+05, 3.382e-01]
18000 [1.901e+05, 3.321e-01]
19000 [1.904e+05, 3.299e-01]
20000 [1.891e+05, 3.271e-01]
21000 [1.898e+05, 3.268e-01]
22000 [1.908e+05, 3.268e-01]
23000 [1.917e+05, 3.264e-01]
24000 [1.923e+05, 3.252e-01]
25000 [1.930e+05, 3.229e-01]
26000 [1.942e+05, 3.199e-01]
27000 [1.961e+05, 3.162e-01]
28000 [1.978e+05, 3.119e-01]
29000 [1.996e+05, 3.072e-01]
30000 [2.016e+05, 3.023e-01]
31000 [2.036e+05, 2.972e-01]
32000 [2.000e+05, 2.929e-01]
33000 [2.007e+05, 2.930e-01]
34000 [2.015e+05, 2.931e-01]
35000 [2.026e+05, 2.932e-01]
36000 [2.036e+05, 2.930e-01]
37000 [2.045e+05, 2.920e-01]
38000 [2.056e+05, 2.902e-01]
39000 [2.068e+05, 2.877e-01]
40000 [2.080e+05, 2.846e-01]
41000 [2.091e+05, 2.811e-01]
42000 [2.106e+05, 2.767e-01]
43000 [2.114e+05, 2.742e-01]
44000 [2.121e+05, 2.712e-01]
45000 [2.131e+05, 2.679e-01]
46000 [2.141e+05, 2.648e-01]
47000 [2.163e+05, 2.437e-01]
48000 [2.168e+05, 2.446e-01]
49000 [2.173e+05, 2.454e-01]
50000 [2.176e+05, 2.458e-01]
51000 [2.179e+05, 2.460e-01]
52000 [2.181e+05, 2.462e-01]
53000 [2.182e+05, 2.461e-01]
54000 [2.183e+05, 2.459e-01]
55000 [2.184e+05, 2.458e-01]
56000 [2.185e+05, 2.456e-01]
57000 [2.186e+05, 2.460e-01]
58000 [2.187e+05, 2.462e-01]
59000 [2.145e+05, 2.449e-01]
60000 [2.151e+05, 2.452e-01]
61000 [2.159e+05, 2.455e-01]
62000 [2.167e+05, 2.459e-01]
63000 [2.173e+05, 2.460e-01]
64000 [2.178e+05, 2.458e-01]
65000 [2.182e+05, 2.454e-01]
66000 [2.185e+05, 2.448e-01]
67000 [2.187e+05, 2.445e-01]
68000 [2.187e+05, 2.445e-01]
69000 [2.189e+05, 2.447e-01]
70000 [2.188e+05, 2.451e-01]
71000 [2.187e+05, 2.456e-01]
72000 [2.185e+05, 2.460e-01]
73000 [2.158e+05, 2.486e-01]
74000 [2.172e+05, 2.488e-01]
75000 [2.177e+05, 2.487e-01]
76000 [2.178e+05, 2.484e-01]
77000 [2.179e+05, 2.481e-01]
78000 [2.179e+05, 2.476e-01]
79000 [2.180e+05, 2.472e-01]
80000 [2.180e+05, 2.472e-01]
81000 [2.180e+05, 2.475e-01]
82000 [2.180e+05, 2.480e-01]
83000 [2.177e+05, 2.484e-01]
84000 [2.177e+05, 2.486e-01]
85000 [2.177e+05, 2.487e-01]
86000 [2.187e+05, 2.338e-01]
87000 [2.190e+05, 2.343e-01]
88000 [2.192e+05, 2.351e-01]
89000 [2.194e+05, 2.362e-01]
90000 [2.196e+05, 2.373e-01]
91000 [2.197e+05, 2.381e-01]
92000 [2.195e+05, 2.389e-01]
93000 [2.193e+05, 2.400e-01]
94000 [2.191e+05, 2.412e-01]
95000 [2.189e+05, 2.425e-01]
96000 [2.173e+05, 2.400e-01]
97000 [2.190e+05, 2.404e-01]
98000 [2.191e+05, 2.403e-01]
99000 [2.193e+05, 2.403e-01]
100000 [2.193e+05, 2.405e-01]
101000 [2.193e+05, 2.407e-01]
102000 [2.194e+05, 2.410e-01]
103000 [2.192e+05, 2.415e-01]
104000 [2.190e+05, 2.423e-01]
105000 [2.190e+05, 2.435e-01]
106000 [2.186e+05, 2.447e-01]
107000 [2.184e+05, 2.457e-01]
108000 [2.181e+05, 2.459e-01]
109000 [2.127e+05, 2.481e-01]
110000 [2.156e+05, 2.482e-01]
111000 [2.170e+05, 2.481e-01]
112000 [2.175e+05, 2.477e-01]
113000 [2.178e+05, 2.470e-01]
114000 [2.180e+05, 2.461e-01]
115000 [2.182e+05, 2.453e-01]
116000 [2.183e+05, 2.450e-01]
117000 [2.185e+05, 2.447e-01]
118000 [2.185e+05, 2.447e-01]
119000 [2.184e+05, 2.446e-01]
120000 [2.184e+05, 2.448e-01]
121000 [2.183e+05, 2.452e-01]
122000 [2.167e+05, 2.435e-01]
123000 [2.178e+05, 2.439e-01]
124000 [2.183e+05, 2.443e-01]
125000 [2.185e+05, 2.446e-01]
126000 [2.184e+05, 2.449e-01]
127000 [2.184e+05, 2.452e-01]
128000 [2.184e+05, 2.455e-01]
129000 [2.181e+05, 2.457e-01]
130000 [2.180e+05, 2.460e-01]
131000 [2.179e+05, 2.465e-01]
132000 [2.178e+05, 2.468e-01]
132851 [2.177e+05, 2.472e-01]
