0 [1.800e+05, 2.500e-01]
1000 [1.773e+05, 2.465e-01]
2000 [1.772e+05, 2.464e-01]
3000 [1.770e+05, 2.456e-01]
4000 [1.760e+05, 2.429e-01]
5000 [1.749e+05, 2.398e-01]
6000 [1.717e+05, 2.316e-01]
7000 [1.713e+05, 2.308e-01]
8000 [1.684e+05, 2.244e-01]
9000 [1.660e+05, 2.197e-01]
10000 [1.633e+05, 2.147e-01]
11000 [1.621e+05, 2.131e-01]
12000 [1.614e+05, 2.126e-01]
13000 [1.486e+05, 1.969e-01]
14000 [1.486e+05, 1.969e-01]
15000 [1.486e+05, 1.969e-01]
16000 [1.486e+05, 1.969e-01]
17000 [1.486e+05, 1.969e-01]
18000 [1.485e+05, 1.969e-01]
19000 [1.485e+05, 1.969e-01]
20000 [1.478e+05, 1.961e-01]
21000 [1.477e+05, 1.960e-01]
22000 [1.472e+05, 1.955e-01]
23000 [1.464e+05, 1.950e-01]
24000 [1.457e+05, 1.947e-01]
25000 [1.282e+05, 1.730e-01]
26000 [1.279e+05, 1.727e-01]
27000 [1.278e+05, 1.727e-01]
28000 [1.278e+05, 1.727e-01]
29000 [1.278e+05, 1.728e-01]
30000 [1.278e+05, 1.729e-01]
31000 [1.278e+05, 1.730e-01]
32000 [1.279e+05, 1.732e-01]
33000 [1.279e+05, 1.735e-01]
34000 [1.276e+05, 1.737e-01]
35000 [1.275e+05, 1.743e-01]
36000 [1.099e+05, 1.521e-01]
37000 [1.099e+05, 1.521e-01]
38000 [1.098e+05, 1.522e-01]
39000 [1.098e+05, 1.522e-01]
40000 [1.098e+05, 1.523e-01]
41000 [1.098e+05, 1.525e-01]
42000 [1.098e+05, 1.527e-01]
43000 [1.097e+05, 1.530e-01]
44000 [1.095e+05, 1.533e-01]
45000 [1.095e+05, 1.542e-01]
46000 [9.117e+04, 1.319e-01]
47000 [9.107e+04, 1.320e-01]
48000 [9.095e+04, 1.321e-01]
49000 [9.084e+04, 1.322e-01]
50000 [9.077e+04, 1.323e-01]
51000 [9.073e+04, 1.324e-01]
52000 [9.071e+04, 1.327e-01]
53000 [9.053e+04, 1.330e-01]
54000 [9.033e+04, 1.336e-01]
55000 [8.999e+04, 1.346e-01]
56000 [8.946e+04, 1.367e-01]
57000 [7.103e+04, 1.178e-01]
58000 [7.099e+04, 1.178e-01]
59000 [7.099e+04, 1.178e-01]
60000 [7.099e+04, 1.179e-01]
61000 [7.096e+04, 1.181e-01]
62000 [7.095e+04, 1.183e-01]
63000 [7.093e+04, 1.187e-01]
64000 [7.094e+04, 1.195e-01]
65000 [7.082e+04, 1.205e-01]
66000 [7.082e+04, 1.228e-01]
67000 [7.078e+04, 1.267e-01]
68000 [5.420e+04, 1.140e-01]
69000 [5.385e+04, 1.139e-01]
70000 [5.360e+04, 1.139e-01]
71000 [5.344e+04, 1.141e-01]
72000 [5.331e+04, 1.145e-01]
73000 [5.329e+04, 1.153e-01]
73404 [5.295e+04, 1.153e-01]
