0 [1.000e+05, 2.000e-01]
1000 [8.997e+04, 2.046e-01]
2000 [6.747e+04, 2.182e-01]
3000 [5.885e+04, 2.425e-01]
4000 [5.855e+04, 2.675e-01]
5000 [5.855e+04, 2.822e-01]
6000 [5.858e+04, 2.894e-01]
7000 [5.860e+04, 2.921e-01]
8000 [5.860e+04, 2.933e-01]
9000 [5.865e+04, 2.942e-01]
10000 [5.864e+04, 2.947e-01]
11000 [5.865e+04, 2.951e-01]
12000 [5.866e+04, 2.953e-01]
13000 [5.866e+04, 2.954e-01]
14000 [5.865e+04, 2.954e-01]
15000 [5.865e+04, 2.955e-01]
16000 [5.866e+04, 2.956e-01]
17000 [5.866e+04, 2.956e-01]
18000 [5.865e+04, 2.955e-01]
19000 [5.865e+04, 2.956e-01]
20000 [5.864e+04, 2.956e-01]
21000 [5.864e+04, 2.956e-01]
22000 [5.864e+04, 2.957e-01]
23000 [5.864e+04, 2.957e-01]
24000 [5.864e+04, 2.957e-01]
25000 [5.864e+04, 2.958e-01]
26000 [5.864e+04, 2.958e-01]
27000 [5.864e+04, 2.958e-01]
28000 [5.864e+04, 2.958e-01]
29000 [5.864e+04, 2.958e-01]
30000 [5.864e+04, 2.958e-01]
31000 [5.863e+04, 2.956e-01]
32000 [5.864e+04, 2.958e-01]
33000 [5.863e+04, 2.956e-01]
34000 [5.864e+04, 2.959e-01]
35000 [5.864e+04, 2.959e-01]
36000 [5.865e+04, 2.959e-01]
37000 [5.865e+04, 2.959e-01]
38000 [5.865e+04, 2.960e-01]
39000 [5.865e+04, 2.960e-01]
40000 [5.865e+04, 2.957e-01]
41000 [5.865e+04, 2.960e-01]
42000 [5.865e+04, 2.960e-01]
43000 [5.865e+04, 2.960e-01]
44000 [5.865e+04, 2.960e-01]
45000 [5.865e+04, 2.961e-01]
46000 [5.865e+04, 2.961e-01]
47000 [5.865e+04, 2.961e-01]
48000 [5.865e+04, 2.961e-01]
49000 [5.865e+04, 2.961e-01]
50000 [5.865e+04, 2.961e-01]
51000 [5.864e+04, 2.961e-01]
52000 [5.865e+04, 2.960e-01]
53000 [5.865e+04, 2.962e-01]
54000 [5.865e+04, 2.961e-01]
54008 [5.865e+04, 2.961e-01]
