0 [1.000e+05, 2.000e-01]
1000 [1.268e+05, 2.197e-01]
2000 [1.521e+05, 2.398e-01]
3000 [1.710e+05, 2.567e-01]
4000 [1.849e+05, 2.681e-01]
5000 [1.948e+05, 2.758e-01]
6000 [2.013e+05, 2.815e-01]
7000 [2.052e+05, 2.853e-01]
8000 [2.074e+05, 2.884e-01]
9000 [2.085e+05, 2.907e-01]
10000 [2.090e+05, 2.922e-01]
11000 [2.091e+05, 2.927e-01]
12000 [2.094e+05, 2.944e-01]
13000 [2.093e+05, 2.945e-01]
14000 [2.095e+05, 2.956e-01]
15000 [2.095e+05, 2.962e-01]
16000 [2.095e+05, 2.966e-01]
17000 [2.095e+05, 2.969e-01]
18000 [2.095e+05, 2.971e-01]
19000 [2.096e+05, 2.974e-01]
20000 [2.093e+05, 2.960e-01]
21000 [2.096e+05, 2.970e-01]
22000 [2.096e+05, 2.975e-01]
23000 [2.096e+05, 2.977e-01]
24000 [2.096e+05, 2.979e-01]
25000 [2.092e+05, 2.955e-01]
26000 [2.095e+05, 2.966e-01]
27000 [2.096e+05, 2.975e-01]
28000 [2.097e+05, 2.980e-01]
29000 [2.096e+05, 2.981e-01]
30000 [2.096e+05, 2.983e-01]
31000 [2.096e+05, 2.984e-01]
32000 [2.096e+05, 2.981e-01]
33000 [2.096e+05, 2.984e-01]
34000 [2.096e+05, 2.985e-01]
35000 [2.096e+05, 2.986e-01]
36000 [2.096e+05, 2.987e-01]
37000 [2.096e+05, 2.985e-01]
38000 [2.093e+05, 2.970e-01]
39000 [2.096e+05, 2.978e-01]
40000 [2.097e+05, 2.984e-01]
41000 [2.097e+05, 2.987e-01]
42000 [2.097e+05, 2.988e-01]
43000 [2.096e+05, 2.988e-01]
44000 [2.097e+05, 2.989e-01]
45000 [2.092e+05, 2.964e-01]
46000 [2.095e+05, 2.973e-01]
47000 [2.096e+05, 2.981e-01]
48000 [2.097e+05, 2.987e-01]
49000 [2.097e+05, 2.989e-01]
50000 [2.097e+05, 2.990e-01]
51000 [2.097e+05, 2.990e-01]
52000 [2.097e+05, 2.990e-01]
52377 [2.097e+05, 2.991e-01]
