# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.649278879165649414e-01 3.438033163547515869e-01 4.431815429687500000e+03 2.625727653503417969e-01 6.246638894081115723e-01 8.670479774475097656e+00 1.510284185409545898e+00 1.363498438149690628e-02 3.815241754055023193e-01 3.474147915840148926e-01 4.437551269531250000e+03 2.614096999168395996e-01 5.745127797126770020e-01 8.670479774475097656e+00 1.510284185409545898e+00 1.363498624414205551e-02 6.293077766895294189e-02
1.000000000000000000e+03 3.441764414310455322e-01 3.359879553318023682e-01 3.470169007778167725e-01 1.109719276428222656e-01 7.650675773620605469e-01 5.673501014709472656e+00 4.669845104217529297e-02 5.190283805131912231e-02 7.312734127044677734e-01 6.695616841316223145e-01 2.829478740692138672e+00 2.703931927680969238e-01 1.506940960884094238e+00 5.673501014709472656e+00 4.669845476746559143e-02 5.190282687544822693e-02 2.245426736772060394e-02
2.000000000000000000e+03 1.294739246368408203e-01 1.197308674454689026e-01 1.516733467578887939e-01 5.012897402048110962e-02 3.237890601158142090e-01 2.922721147537231445e+00 1.625423319637775421e-02 1.974729076027870178e-02 3.813864588737487793e-01 2.617720663547515869e-01 1.979298233985900879e+00 8.521527796983718872e-02 7.157859206199645996e-01 2.922720670700073242e+00 1.625425182282924652e-02 1.974728889763355255e-02 1.394485030323266983e-02
3.000000000000000000e+03 8.283366262912750244e-02 5.614503845572471619e-02 3.311879038810729980e-01 5.943214893341064453e-02 1.605759412050247192e-01 1.497082829475402832e+00 5.102154333144426346e-03 7.325610145926475525e-03 2.601092159748077393e-01 1.181684285402297974e-01 2.579791307449340820e+00 2.103642523288726807e-01 3.421667516231536865e-01 1.497083663940429688e+00 5.102160852402448654e-03 7.325616665184497833e-03 9.818024933338165283e-03
4.000000000000000000e+03 6.049994379281997681e-02 2.821622043848037720e-02 6.117311865091323853e-02 1.880218647420406342e-02 9.684407711029052734e-02 8.527795076370239258e-01 3.771124640479683876e-03 4.601217806339263916e-03 1.723769754171371460e-01 6.443759799003601074e-02 2.675148725509643555e+00 3.482962846755981445e-01 2.311580926179885864e-01 8.527792096138000488e-01 3.771133488044142723e-03 4.601228050887584686e-03 7.833685725927352905e-03
5.000000000000000000e+03 4.307778924703598022e-02 1.752109639346599579e-02 3.688776493072509766e-02 1.621430553495883942e-02 6.730734556913375854e-02 4.977643489837646484e-01 5.547505337744951248e-03 3.908595535904169083e-03 1.301189213991165161e-01 4.150179773569107056e-02 2.780440807342529297e+00 3.680817186832427979e-01 1.824561655521392822e-01 4.977643489837646484e-01 5.547495093196630478e-03 3.908595535904169083e-03 6.753315217792987823e-03
6.000000000000000000e+03 2.631838433444499969e-02 1.066399831324815750e-02 2.159285731613636017e-02 1.459107734262943268e-02 4.918533191084861755e-02 2.984657585620880127e-01 7.407020777463912964e-03 3.284047357738018036e-03 1.091616451740264893e-01 2.589843049645423889e-02 1.892391324043273926e+00 2.633938789367675781e-01 1.483290791511535645e-01 2.984657883644104004e-01 7.407025899738073349e-03 3.284042468294501305e-03 5.701009184122085571e-03
7.000000000000000000e+03 1.728387735784053802e-02 5.775832571089267731e-03 1.484205666929483414e-02 1.319220755249261856e-02 3.501984104514122009e-02 1.817793846130371094e-01 9.144377894699573517e-03 2.764655277132987976e-03 9.534883499145507812e-02 1.688471622765064240e-02 1.196566343307495117e+00 1.755618900060653687e-01 1.222533285617828369e-01 1.817792505025863647e-01 9.144376963376998901e-03 2.764651784673333168e-03 4.875088110566139221e-03
8.000000000000000000e+03 1.356767397373914719e-02 9.966013021767139435e-03 1.193526610732078552e-01 2.102650515735149384e-02 3.899542614817619324e-02 1.049708202481269836e-01 1.097287982702255249e-02 2.160611096769571304e-03 7.207759469747543335e-02 2.132716402411460876e-02 1.113087058067321777e+00 1.431362181901931763e-01 1.009217873215675354e-01 1.049708202481269836e-01 1.097287982702255249e-02 2.160611795261502266e-03 4.459464922547340393e-03
9.000000000000000000e+03 1.231488306075334549e-02 7.544113323092460632e-03 1.741549968719482422e+00 3.848663866519927979e-01 3.497699275612831116e-02 4.967922717332839966e-02 8.636639453470706940e-03 1.635570661164820194e-03 5.540182814002037048e-02 1.674589887261390686e-02 2.735915899276733398e+00 5.093267560005187988e-01 8.200654387474060059e-02 4.967921599745750427e-02 8.636646904051303864e-03 1.635571941733360291e-03 3.715001977980136871e-03
