0 [1.000e+05, 2.000e-01]
1000 [1.154e+05, 2.131e-01]
2000 [1.332e+05, 2.224e-01]
3000 [1.484e+05, 2.301e-01]
4000 [1.609e+05, 2.371e-01]
5000 [1.708e+05, 2.436e-01]
6000 [1.789e+05, 2.495e-01]
7000 [1.853e+05, 2.545e-01]
8000 [1.905e+05, 2.591e-01]
9000 [1.946e+05, 2.633e-01]
10000 [1.978e+05, 2.668e-01]
11000 [2.003e+05, 2.699e-01]
12000 [2.023e+05, 2.729e-01]
13000 [2.038e+05, 2.753e-01]
14000 [2.050e+05, 2.776e-01]
15000 [2.060e+05, 2.795e-01]
16000 [2.067e+05, 2.812e-01]
17000 [2.073e+05, 2.825e-01]
18000 [2.078e+05, 2.839e-01]
19000 [2.082e+05, 2.852e-01]
20000 [2.085e+05, 2.863e-01]
21000 [2.088e+05, 2.872e-01]
22000 [2.090e+05, 2.879e-01]
23000 [2.092e+05, 2.889e-01]
24000 [2.093e+05, 2.895e-01]
25000 [2.094e+05, 2.902e-01]
26000 [2.088e+05, 2.871e-01]
27000 [2.090e+05, 2.880e-01]
28000 [2.093e+05, 2.890e-01]
29000 [2.095e+05, 2.900e-01]
30000 [2.097e+05, 2.906e-01]
31000 [2.097e+05, 2.913e-01]
32000 [2.098e+05, 2.918e-01]
33000 [2.099e+05, 2.924e-01]
34000 [2.099e+05, 2.925e-01]
35000 [2.099e+05, 2.929e-01]
36000 [2.100e+05, 2.934e-01]
37000 [2.100e+05, 2.938e-01]
38000 [2.096e+05, 2.921e-01]
39000 [2.097e+05, 2.927e-01]
40000 [2.099e+05, 2.934e-01]
41000 [2.099e+05, 2.937e-01]
42000 [2.100e+05, 2.942e-01]
43000 [2.100e+05, 2.945e-01]
44000 [2.100e+05, 2.948e-01]
45000 [2.100e+05, 2.950e-01]
46000 [2.094e+05, 2.919e-01]
47000 [2.095e+05, 2.924e-01]
48000 [2.097e+05, 2.932e-01]
49000 [2.098e+05, 2.938e-01]
50000 [2.099e+05, 2.944e-01]
51000 [2.100e+05, 2.948e-01]
52000 [2.100e+05, 2.950e-01]
53000 [2.100e+05, 2.949e-01]
54000 [2.100e+05, 2.955e-01]
55000 [2.100e+05, 2.957e-01]
56000 [2.100e+05, 2.958e-01]
57000 [2.100e+05, 2.960e-01]
58000 [2.095e+05, 2.931e-01]
59000 [2.096e+05, 2.935e-01]
60000 [2.098e+05, 2.942e-01]
61000 [2.100e+05, 2.948e-01]
62000 [2.100e+05, 2.953e-01]
63000 [2.100e+05, 2.956e-01]
64000 [2.100e+05, 2.959e-01]
65000 [2.100e+05, 2.961e-01]
66000 [2.100e+05, 2.963e-01]
67000 [2.100e+05, 2.965e-01]
68000 [2.094e+05, 2.931e-01]
69000 [2.096e+05, 2.935e-01]
70000 [2.098e+05, 2.941e-01]
71000 [2.100e+05, 2.949e-01]
72000 [2.101e+05, 2.955e-01]
73000 [2.101e+05, 2.959e-01]
74000 [2.101e+05, 2.962e-01]
75000 [2.100e+05, 2.965e-01]
76000 [2.100e+05, 2.967e-01]
77000 [2.095e+05, 2.938e-01]
78000 [2.096e+05, 2.942e-01]
79000 [2.098e+05, 2.948e-01]
80000 [2.099e+05, 2.954e-01]
81000 [2.100e+05, 2.960e-01]
82000 [2.100e+05, 2.963e-01]
83000 [2.100e+05, 2.966e-01]
84000 [2.100e+05, 2.969e-01]
85000 [2.100e+05, 2.970e-01]
86000 [2.097e+05, 2.955e-01]
87000 [2.098e+05, 2.960e-01]
88000 [2.099e+05, 2.965e-01]
89000 [2.100e+05, 2.968e-01]
90000 [2.100e+05, 2.971e-01]
91000 [2.099e+05, 2.972e-01]
92000 [2.100e+05, 2.974e-01]
93000 [2.100e+05, 2.974e-01]
93114 [2.100e+05, 2.975e-01]
