0 [1.000e+05, 2.000e-01]
1000 [1.164e+05, 1.928e-01]
2000 [1.343e+05, 2.005e-01]
3000 [1.503e+05, 2.108e-01]
4000 [1.635e+05, 2.217e-01]
5000 [1.739e+05, 2.313e-01]
6000 [1.819e+05, 2.393e-01]
7000 [1.880e+05, 2.458e-01]
8000 [1.927e+05, 2.510e-01]
9000 [1.964e+05, 2.552e-01]
10000 [1.992e+05, 2.588e-01]
11000 [2.013e+05, 2.619e-01]
12000 [2.030e+05, 2.647e-01]
13000 [2.043e+05, 2.673e-01]
14000 [2.053e+05, 2.692e-01]
15000 [2.062e+05, 2.711e-01]
16000 [2.068e+05, 2.727e-01]
17000 [2.073e+05, 2.742e-01]
18000 [2.077e+05, 2.756e-01]
19000 [2.080e+05, 2.768e-01]
20000 [2.082e+05, 2.779e-01]
21000 [2.084e+05, 2.789e-01]
22000 [2.086e+05, 2.799e-01]
23000 [2.087e+05, 2.806e-01]
24000 [2.088e+05, 2.813e-01]
25000 [2.088e+05, 2.820e-01]
26000 [2.089e+05, 2.827e-01]
27000 [2.090e+05, 2.833e-01]
28000 [2.090e+05, 2.839e-01]
29000 [2.090e+05, 2.844e-01]
30000 [2.091e+05, 2.849e-01]
31000 [2.091e+05, 2.852e-01]
32000 [2.091e+05, 2.857e-01]
33000 [2.091e+05, 2.859e-01]
34000 [2.091e+05, 2.861e-01]
35000 [2.091e+05, 2.866e-01]
36000 [2.092e+05, 2.870e-01]
37000 [2.092e+05, 2.872e-01]
38000 [2.092e+05, 2.876e-01]
39000 [2.092e+05, 2.877e-01]
40000 [2.092e+05, 2.878e-01]
41000 [2.092e+05, 2.882e-01]
42000 [2.092e+05, 2.882e-01]
43000 [2.092e+05, 2.885e-01]
44000 [2.092e+05, 2.887e-01]
45000 [2.092e+05, 2.889e-01]
46000 [2.093e+05, 2.891e-01]
47000 [2.093e+05, 2.892e-01]
47887 [2.093e+05, 2.894e-01]
