0 [1.000000e+00, 1.000000e+00]
1000 [9.863275e-01, 9.867958e-01]
2000 [9.862987e-01, 9.867958e-01]
3000 [9.862987e-01, 9.867958e-01]
4000 [9.862444e-01, 9.867958e-01]
5000 [9.861249e-01, 9.867304e-01]
6000 [9.856929e-01, 9.864233e-01]
7000 [9.856566e-01, 9.864137e-01]
8000 [9.833124e-01, 9.843068e-01]
9000 [9.827909e-01, 9.838503e-01]
10000 [9.818960e-01, 9.830358e-01]
