0 [1.800e+05, 2.500e-01]
1000 [1.778e+05, 2.471e-01]
2000 [1.778e+05, 2.470e-01]
3000 [1.777e+05, 2.469e-01]
4000 [1.777e+05, 2.469e-01]
5000 [1.775e+05, 2.467e-01]
6000 [1.774e+05, 2.467e-01]
7000 [1.773e+05, 2.465e-01]
8000 [1.768e+05, 2.461e-01]
9000 [1.759e+05, 2.450e-01]
10000 [1.757e+05, 2.448e-01]
11000 [1.586e+05, 2.257e-01]
12000 [1.586e+05, 2.257e-01]
13000 [1.586e+05, 2.257e-01]
14000 [1.586e+05, 2.258e-01]
15000 [1.583e+05, 2.253e-01]
16000 [1.579e+05, 2.248e-01]
17000 [1.574e+05, 2.241e-01]
18000 [1.569e+05, 2.237e-01]
19000 [1.561e+05, 2.228e-01]
20000 [1.552e+05, 2.222e-01]
21000 [1.539e+05, 2.214e-01]
22000 [1.391e+05, 2.027e-01]
23000 [1.391e+05, 2.027e-01]
24000 [1.391e+05, 2.028e-01]
25000 [1.391e+05, 2.028e-01]
26000 [1.391e+05, 2.028e-01]
27000 [1.391e+05, 2.028e-01]
28000 [1.391e+05, 2.029e-01]
29000 [1.391e+05, 2.030e-01]
30000 [1.389e+05, 2.030e-01]
31000 [1.386e+05, 2.030e-01]
32000 [1.231e+05, 1.841e-01]
33000 [1.231e+05, 1.841e-01]
34000 [1.230e+05, 1.841e-01]
35000 [1.230e+05, 1.841e-01]
36000 [1.230e+05, 1.842e-01]
37000 [1.230e+05, 1.842e-01]
38000 [1.230e+05, 1.843e-01]
39000 [1.230e+05, 1.844e-01]
40000 [1.230e+05, 1.846e-01]
41000 [1.228e+05, 1.849e-01]
42000 [1.018e+05, 1.587e-01]
43000 [1.018e+05, 1.587e-01]
44000 [1.018e+05, 1.588e-01]
45000 [1.018e+05, 1.590e-01]
46000 [1.018e+05, 1.592e-01]
47000 [1.017e+05, 1.596e-01]
48000 [1.018e+05, 1.604e-01]
49000 [1.020e+05, 1.618e-01]
50000 [9.607e+04, 1.566e-01]
50489 [9.630e+04, 1.580e-01]
