0 [1.000e+05, 2.000e-01]
1000 [1.278e+05, 2.157e-01]
2000 [1.533e+05, 2.339e-01]
3000 [1.719e+05, 2.500e-01]
4000 [1.854e+05, 2.624e-01]
5000 [1.949e+05, 2.714e-01]
6000 [2.011e+05, 2.782e-01]
7000 [2.049e+05, 2.830e-01]
8000 [2.071e+05, 2.868e-01]
9000 [2.082e+05, 2.893e-01]
10000 [2.087e+05, 2.914e-01]
11000 [2.090e+05, 2.926e-01]
12000 [2.092e+05, 2.941e-01]
13000 [2.093e+05, 2.950e-01]
14000 [2.094e+05, 2.958e-01]
15000 [2.095e+05, 2.963e-01]
16000 [2.095e+05, 2.967e-01]
17000 [2.096e+05, 2.970e-01]
18000 [2.096e+05, 2.972e-01]
19000 [2.097e+05, 2.975e-01]
20000 [2.096e+05, 2.971e-01]
21000 [2.097e+05, 2.977e-01]
22000 [2.097e+05, 2.979e-01]
23000 [2.097e+05, 2.980e-01]
24000 [2.097e+05, 2.981e-01]
25000 [2.098e+05, 2.982e-01]
26000 [2.098e+05, 2.982e-01]
27000 [2.098e+05, 2.983e-01]
28000 [2.097e+05, 2.973e-01]
29000 [2.098e+05, 2.980e-01]
30000 [2.098e+05, 2.983e-01]
31000 [2.098e+05, 2.984e-01]
32000 [2.098e+05, 2.985e-01]
33000 [2.098e+05, 2.985e-01]
34000 [2.098e+05, 2.983e-01]
35000 [2.098e+05, 2.986e-01]
36000 [2.098e+05, 2.987e-01]
37000 [2.094e+05, 2.967e-01]
38000 [2.098e+05, 2.975e-01]
39000 [2.099e+05, 2.982e-01]
40000 [2.098e+05, 2.985e-01]
41000 [2.098e+05, 2.987e-01]
42000 [2.098e+05, 2.988e-01]
43000 [2.098e+05, 2.988e-01]
44000 [2.098e+05, 2.987e-01]
45000 [2.098e+05, 2.989e-01]
46000 [2.098e+05, 2.989e-01]
47000 [2.095e+05, 2.962e-01]
48000 [2.097e+05, 2.971e-01]
49000 [2.098e+05, 2.980e-01]
49868 [2.098e+05, 2.985e-01]
